playerId,season,팀명,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,BB,HBP,SO,SLG,OBP,PA,TB,CS,SAC,SF,ERA,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,ER
54803,2025,SSG,,13,,,21,2,0,5,,,,,,,,,,,,,6.23,0,0,0,0,0,0,-,77,290,17 1/3,
69813,2025,SSG,0.143,18,56,6,8,0,0,3,8,1,,,,,,61,17,2,0,1,,,,,,,,,,,,
68092,2025,SSG,,42,,,42,5,0,0,,,,,,,,,,,,,4.37,0,0,2,0,1,3,1,159,616,35,
62895,2025,SSG,0.273,125,444,50,121,23,0,15,68,1,,,,,,500,189,0,1,2,,,,,,,,,,,,
55801,2025,SSG,0.269,37,,31,53,,,0,,,30,4,23,,,,,,,,2.52,,,3,3,8,2,0.5,,,50,14
54813,2025,SSG,0.239,37,67,15,16,4,0,1,10,1,15,3,17,0.343,0.391,,,,,,,,,,,,,,,,,
50840,2025,SSG,0.264,18,53,4,14,1,0,0,4,0,,,,,,56,15,0,0,0,,,,,,,,,,,,
55897,2025,SSG,0,12,2,3,0,0,0,0,0,1,,,,,,2,0,1,0,0,,,,,,,,,,,,
55855,2025,SSG,,24,,,111,17,2,9,,,,,,,,,,,,,2.87,1,0,11,4,0,0,0.733,562,2165,134 2/3,
55460,2025,삼성,,15,,,56,5,0,6,,,,,,,,,,,,,2.64,0,0,4,4,0,0,0.5,327,1356,78 1/3,
55427,2025,삼성,0.231,74,169,36,39,8,0,8,33,3,30,2,61,0.42,0.351,,,,,,,,,,,,,,,,,
74540,2025,삼성,0.273,125,407,36,111,23,1,12,70,2,,,,,,459,172,2,1,7,,,,,,,,,,,,
53460,2025,삼성,0.133,9,15,1,2,1,0,0,1,0,1,2,2,0.2,0.278,,,,,,,,,,,,,,,,,
64610,2025,삼성,0.3,9,20,2,6,1,0,0,1,0,2,0,5,0.35,0.364,,,,,,,,,,,,,,,,,
68407,2025,삼성,0.288,53,104,21,30,4,0,5,20,1,19,2,16,0.471,0.408,,,,,,,,,,,,,,,,,
62404,2025,삼성,0.318,140,525,104,167,43,2,19,96,4,,,,,,611,271,1,1,8,,,,,,,,,,,,
55441,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61365,2025,삼성,,2,,,1,1,0,0,,,,,,,,,,,,,0,0,0,0,0,0,1,-,3,16,02월 03일,
54401,2025,삼성,,11,,,25,6,0,3,,,,,,,,,,,,,5.14,0,0,0,1,0,0,0,105,392,21,
69442,2025,삼성,0.286,6,14,3,4,1,0,0,1,0,,,,,,14,5,0,0,0,,,,,,,,,,,,
54402,2025,삼성,0.265,23,,25,31,,,3,,,20,4,16,,,,,,,,5.7,,,1,3,0,0,0.25,,,30,19
68403,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64793,2025,삼성,0.333,21,27,6,9,2,0,0,5,0,4,4,6,0.407,0.486,,,,,,,,,,,,,,,,,
55420,2025,삼성,0.32,25,,22,39,,,2,,,22,1,23,,,,,,,,6.37,,,1,1,1,1,0.5,,,29 2/3,21
52402,2025,삼성,0.368,19,19,7,7,0,0,0,1,1,1,1,4,0.368,0.429,,,,,,,,,,,,,,,,,
55425,2025,삼성,0.225,73,129,19,29,0,1,0,16,3,22,1,24,0.24,0.34,,,,,,,,,,,,,,,,,
54403,2025,삼성,0.3,9,,11,9,,,1,,,10,3,6,,,,,,,,10.57,,,0,0,0,1,-,,,7 2/3,9
67449,2025,삼성,0.329,125,450,90,148,28,9,6,59,26,,,,,,532,212,7,10,2,,,,,,,,,,,,
53464,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52430,2025,삼성,0.248,123,439,63,109,22,2,21,70,6,,,,,,491,198,2,0,3,,,,,,,,,,,,
55429,2025,삼성,0.36,12,,36,36,,,4,,,23,5,17,,,,,,,,10.88,,,1,4,0,1,0.2,,,24,29
65132,2025,삼성,0.131,42,61,3,8,2,0,0,4,0,,,,,,71,10,0,1,1,,,,,,,,,,,,
65062,2025,삼성,,62,,,57,12,2,10,,,,,,,,,,,,,5.05,0,0,4,7,13,3,0.364,240,933,57,
52424,2025,삼성,0,7,2,2,0,0,0,0,0,0,,,,,,3,0,0,0,0,,,,,,,,,,,,
54407,2025,삼성,0.208,22,24,3,5,0,0,2,4,0,7,2,9,0.458,0.424,,,,,,,,,,,,,,,,,
50458,2025,삼성,0.277,88,310,58,86,8,2,0,23,22,,,,,,366,98,3,10,3,,,,,,,,,,,,
69207,2025,삼성,0.333,11,12,2,4,0,0,0,0,0,,,,,,14,4,0,0,0,,,,,,,,,,,,
62360,2025,삼성,,72,,,65,13,0,8,,,,,,,,,,,,,4.55,0,0,2,6,2,19,0.25,283,1109,65 1/3,
65040,2025,삼성,0.237,51,93,4,22,1,0,2,8,1,,,,,,98,29,0,2,0,,,,,,,,,,,,
61404,2025,삼성,0.231,75,169,21,39,6,0,2,11,2,,,,,,187,51,1,2,1,,,,,,,,,,,,
54460,2025,삼성,-,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,
54400,2025,삼성,0.311,142,546,91,170,31,0,49,153,1,,,,,,623,348,0,0,11,,,,,,,,,,,,
54443,2025,삼성,,10,,,51,7,1,5,,,,,,,,,,,,,4.14,0,0,4,3,0,0,0.571,215,844,50,
62234,2025,삼성,0.281,128,398,54,112,14,0,1,37,11,,,,,,462,129,6,14,4,,,,,,,,,,,,
75125,2025,삼성,0.199,75,191,26,38,5,0,15,33,0,,,,,,227,88,0,0,2,,,,,,,,,,,,
69418,2025,삼성,0.287,64,174,39,50,5,0,6,14,5,,,,,,200,73,4,1,0,,,,,,,,,,,,
53416,2025,삼성,0.301,48,83,14,25,5,1,1,16,0,8,0,18,0.422,0.363,,,,,,,,,,,,,,,,,
50411,2025,삼성,0.258,44,,30,48,,,4,,,27,3,50,,,,,,,,5.06,,,5,2,4,6,0.714,,,48,27
54466,2025,삼성,0.32,11,,26,31,,,4,,,20,0,16,,,,,,,,7.46,,,1,4,0,0,0.2,,,25 1/3,21
53411,2025,삼성,0,1,1,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,,,,,,,,,,,,
55455,2025,삼성,,64,,,49,11,0,3,,,,,,,,,,,,,3.96,0,0,2,3,0,18,0.4,230,952,50,
77446,2025,삼성,,29,,,19,6,0,1,,,,,,,,,,,,,1.95,0,0,2,0,1,3,1,128,505,32 1/3,
73801,2025,삼성,,5,,,9,2,0,0,,,,,,,,,,,,,4.5,0,0,0,0,0,0,-,28,93,6,
54405,2025,삼성,0.286,2,,1,2,,,0,,,1,1,2,,,,,,,,0,,,1,0,0,0,1,,,2,0
53415,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52440,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55438,2025,삼성,0.176,30,34,8,6,0,0,0,1,3,,,,,,39,6,1,1,0,,,,,,,,,,,,
66406,2025,삼성,0.235,8,17,3,4,0,0,1,2,0,,,,,,18,7,1,0,0,,,,,,,,,,,,
54408,2025,삼성,0.262,114,164,23,43,5,0,0,16,5,,,,,,196,48,1,11,1,,,,,,,,,,,,
69403,2025,삼성,0.188,14,16,3,3,1,0,0,4,0,,,,,,16,4,0,0,0,,,,,,,,,,,,
68415,2025,삼성,,33,,,67,10,0,3,,,,,,,,,,,,,3.43,0,0,3,3,0,2,0.5,276,969,63,
61268,2025,삼성,,3,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,-,10,44,2 2/3,
75421,2025,삼성,,11,,,15,5,0,1,,,,,,,,,,,,,8.31,0,0,0,0,0,0,-,44,169,8 2/3,
51466,2025,삼성,0.24,19,25,3,6,2,0,0,2,0,1,1,9,0.32,0.296,,,,,,,,,,,,,,,,,
55428,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69446,2025,삼성,,27,,,157,32,2,20,,,,,,,,,,,,,3.24,0,0,12,4,0,0,0.75,671,2493,166 2/3,
54406,2025,삼성,0,1,,0,0,,,0,,,1,0,1,,,,,,,,0,,,0,0,0,0,-,,,1,0
54404,2025,삼성,,26,,,19,3,0,3,,,,,,,,,,,,,4.73,0,0,0,1,0,1,0,121,511,26 2/3,
68463,2025,삼성,0.175,25,40,3,7,1,0,0,3,0,,,,,,46,8,0,0,2,,,,,,,,,,,,
69428,2025,삼성,0.2,55,55,5,11,3,0,1,7,0,,,,,,59,17,0,0,0,,,,,,,,,,,,
63960,2025,삼성,,1,,,2,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,-,5,12,1,
66409,2025,삼성,0.2,66,120,16,24,4,1,6,21,2,,,,,,148,48,2,1,2,,,,,,,,,,,,
50464,2025,삼성,,61,,,60,14,2,5,,,,,,,,,,,,,3.71,0,0,3,2,0,8,0.6,275,1045,63,
51454,2025,삼성,,25,,,121,23,2,10,,,,,,,,,,,,,5.42,0,0,4,9,0,0,0.308,471,1840,101 1/3,
60146,2025,삼성,,42,,,43,7,0,9,,,,,,,,,,,,,6.31,0,0,2,1,0,11,0.667,161,648,35 2/3,
63492,2025,삼성,,6,,,7,0,1,0,,,,,,,,,,,,,1.42,0,0,1,0,0,0,1,28,103,6 1/3,
52415,2025,삼성,0.251,137,450,81,113,29,0,16,65,6,,,,,,547,190,1,9,8,,,,,,,,,,,,
51460,2025,삼성,,11,,,7,1,1,0,,,,,,,,,,,,,3,0,0,0,2,0,4,0,39,157,9,
55417,2025,삼성,0.27,41,89,18,24,0,0,0,8,11,16,0,27,0.27,0.381,,,,,,,,,,,,,,,,,
51407,2025,삼성,0.2,11,15,2,3,1,0,1,2,1,,,,,,17,7,0,0,0,,,,,,,,,,,,
69416,2025,삼성,0.25,7,4,2,1,0,0,0,1,0,,,,,,4,1,0,0,0,,,,,,,,,,,,
54411,2025,삼성,0.25,9,20,6,5,1,0,0,4,1,5,0,3,0.3,0.385,,,,,,,,,,,,,,,,,
53455,2025,삼성,,58,,,54,7,2,7,,,,,,,,,,,,,6.34,0,0,7,4,9,3,0.636,252,1032,55 1/3,
78352,2025,삼성,,15,,,17,2,0,5,,,,,,,,,,,,,5.25,0,0,1,0,0,2,1,60,249,12,
65586,2025,삼성,0.284,58,74,11,21,2,0,1,13,1,,,,,,93,26,0,0,0,,,,,,,,,,,,
54467,2025,삼성,,1,,,3,2,1,0,,,,,,,,,,,,,36,0,0,0,1,0,0,0,7,23,1,
52405,2025,삼성,0.276,17,29,6,8,3,0,0,3,0,2,0,5,0.379,0.323,,,,,,,,,,,,,,,,,
51468,2025,삼성,0.211,22,38,1,8,1,0,0,4,0,9,1,13,0.237,0.375,,,,,,,,,,,,,,,,,
55415,2025,삼성,0.317,17,,15,20,,,0,,,8,1,15,,,,,,,,7.53,,,0,2,1,1,0,,,14 1/3,12
52400,2025,삼성,0.19,21,21,3,4,0,0,0,2,0,9,0,10,0.19,0.406,,,,,,,,,,,,,,,,,
55435,2025,삼성,0,1,1,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,,,,,,,,,,,,
55414,2025,삼성,0.355,13,,55,72,,,7,,,29,2,37,,,,,,,,9.32,,,2,7,0,0,0.222,,,47 1/3,49
62146,2025,삼성,,2,,,1,0,0,0,,,,,,,,,,,,,9,0,0,0,0,0,0,-,5,20,1,
55419,2025,삼성,0.283,17,,29,66,,,5,,,26,2,37,,,,,,,,3.9,,,1,0,0,0,1,,,60,26
65320,2025,삼성,,27,,,128,21,0,13,,,,,,,,,,,,,4.92,0,0,8,7,0,0,0.533,552,2137,124 1/3,
67421,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66451,2025,삼성,,3,,,3,0,0,0,,,,,,,,,,,,,27,0,0,0,0,0,0,-,8,35,1,
68501,2025,삼성,0.294,18,,19,25,,,2,,,16,3,18,,,,,,,,7.59,,,0,3,1,3,0,,,21 1/3,18
55440,2025,삼성,0.214,6,14,1,3,0,0,0,1,0,,,,,,14,3,0,0,0,,,,,,,,,,,,
50449,2025,삼성,0.331,12,,22,44,,,2,,,13,3,13,,,,,,,,4.36,,,5,4,0,0,0.556,,,33,16
50430,2025,삼성,,1,,,1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,-,6,19,1,
